provider_state,billing_class,negotiated_rate
NY,institutional,7301.0
NY,institutional,36559.35
NY,institutional,91556.14
NY,institutional,118390.04
NY,institutional,35206.0
NY,institutional,98640.0
NY,institutional,17739.0
NY,institutional,17739.0
NY,institutional,17739.0
NY,institutional,17739.0
NY,institutional,17739.0
NY,institutional,17739.0
NY,institutional,21342.0
NY,institutional,21342.0
NY,institutional,17422.44
NY,institutional,18291.0
NY,institutional,18294.0
NY,institutional,19639.11
NY,institutional,24597.72
NY,institutional,27727.31
NY,institutional,30643.93
NY,institutional,43264.39
NY,institutional,76742.06
NY,institutional,99234.16
NY,institutional,108347.65
NY,institutional,140102.93
NY,institutional,23107.0
NY,institutional,5862.0
NY,institutional,16730.65
NY,institutional,19938.84
NY,institutional,20484.0
NY,institutional,22475.68
NY,institutional,25845.6
NY,institutional,29133.96
NY,institutional,33149.0
NY,institutional,35069.98
NY,institutional,39701.0
NY,institutional,43193.0
NY,institutional,43193.0
NY,institutional,87826.28
NY,institutional,113567.02
NY,institutional,113844.28
NY,institutional,147210.54
MI,institutional,1564.1
VA,institutional,1576.0
VA,institutional,44717.0
NY,institutional,2449.0
NY,institutional,16682.0
NY,institutional,16682.0
NY,institutional,16682.0
NY,institutional,16682.0
NY,institutional,16682.0
NY,institutional,16682.0
NY,institutional,18350.0
NY,institutional,18350.0
NY,institutional,18350.0
NY,institutional,18350.0
NY,institutional,18350.0
NY,institutional,18350.0
NY,institutional,5053.0
NY,institutional,11442.0
NY,institutional,11442.0
NY,institutional,11442.0
NY,institutional,11442.0
NY,institutional,11442.0
NY,institutional,11442.0
NY,institutional,32820.0
NY,institutional,3710.0
NY,institutional,20668.19
NY,institutional,24631.42
NY,institutional,27765.3
NY,institutional,43323.65
NY,institutional,108496.08
NY,institutional,140294.86
NY,institutional,2449.0
NY,institutional,18350.0
NY,institutional,18350.0
NY,institutional,18350.0
NY,institutional,18350.0
NY,institutional,18350.0
NY,institutional,18350.0
SC,institutional,7911.9
SC,institutional,14798.0
SC,institutional,18449.83
SC,institutional,23082.94
SC,institutional,25431.45
SC,institutional,28667.12
SC,institutional,44730.81
SC,institutional,112020.05
SC,institutional,144851.65
SC,institutional,149847.17
NY,institutional,4305.0
NY,institutional,4305.0
NY,institutional,6114.0
NY,institutional,12670.89
NY,institutional,15100.6
NY,institutional,17021.87
NY,institutional,26560.11
NY,institutional,66514.9
NY,institutional,86009.54
NY,institutional,2332.0
NY,institutional,12038.0
NY,institutional,18234.43
NY,institutional,20554.41
NY,institutional,32072.12
NY,institutional,32807.0
NY,institutional,80318.7
NY,institutional,103859.06
NY,institutional,5260.58
NY,institutional,7525.0
NY,institutional,8495.0
NY,institutional,12267.18
NY,institutional,12500.5
NY,institutional,14090.95
NY,institutional,15347.7
NY,institutional,21986.85
NY,institutional,55062.0
NY,institutional,71199.95
NY,institutional,99632.43
PA,institutional,8218.02
PA,institutional,9793.87
PA,institutional,11039.95
PA,institutional,17226.22
PA,institutional,43139.88
PA,institutional,55783.61
NY,institutional,2669.0
NY,institutional,2669.0
NY,institutional,2669.0
NY,institutional,2669.0
NY,institutional,2669.0
NY,institutional,2669.0
NY,institutional,2639.0
NY,institutional,2639.0
NY,institutional,2639.0
NY,institutional,2639.0
NY,institutional,2639.0
NY,institutional,2639.0
NY,institutional,3754.0
NY,institutional,3754.0
NY,institutional,3754.0
NY,institutional,3754.0
NY,institutional,3754.0
NY,institutional,3754.0
NY,institutional,4207.0
NY,institutional,16668.63
NY,institutional,19864.93
NY,institutional,22392.36
NY,institutional,34939.97
NY,institutional,87500.7
NY,institutional,113146.01
NY,institutional,3572.0
NY,institutional,16985.0
NY,institutional,23970.52
NY,institutional,27020.32
NY,institutional,42161.22
NY,institutional,105584.98
NY,institutional,136530.55
NY,institutional,6590.83
NY,institutional,7854.66
NY,institutional,8854.02
NY,institutional,13815.39
NY,institutional,34598.09
NY,institutional,44738.33
NY,institutional,5050.15
NY,institutional,7600.0
NY,institutional,10049.32
NY,institutional,11327.9
NY,institutional,11776.49
NY,institutional,14733.79
NY,institutional,17675.52
NY,institutional,44265.06
NY,institutional,57238.57
NY,institutional,95647.13
NY,institutional,9601.68
NY,institutional,11442.85
NY,institutional,12898.73
NY,institutional,20126.57
NY,institutional,50403.28
NY,institutional,65175.82
NY,institutional,2536.0
NY,institutional,2536.0
NY,institutional,2536.0
NY,institutional,2536.0
NY,institutional,2536.0
NY,institutional,2536.0
NY,institutional,3471.98
NY,institutional,8096.34
NY,institutional,10129.48
NY,institutional,65757.4
TX,institutional,0.0
TX,institutional,400.0
TX,institutional,400.0
TX,institutional,400.0
KY,institutional,5721.0
TX,institutional,250.0
TX,institutional,250.0
TX,institutional,250.0
TX,institutional,0.0
NV,institutional,15134.48
NV,institutional,18036.59
NV,institutional,20331.4
NV,institutional,31724.16
NV,institutional,79447.28
NV,institutional,102732.24
TX,institutional,400.0
TX,institutional,400.0
TX,institutional,400.0
TX,institutional,400.0
TX,institutional,400.0
TX,institutional,400.0
MI,institutional,1564.1
IA,institutional,361.35
IA,institutional,838.77
IA,institutional,6615.55
TX,institutional,0.0
TX,institutional,1950.0
TX,institutional,1950.0
TX,institutional,1950.0
TX,institutional,4847.77
TX,institutional,33439.1
TX,institutional,0.0
TX,institutional,2692.85
TX,institutional,26009.19
TX,institutional,1218.06
TX,institutional,3481.9
TX,institutional,50715.83
CA,institutional,0.0
MI,institutional,133.62
MI,institutional,384.45
MI,institutional,1564.1
MI,institutional,3149.33
MI,institutional,4363.06
LA,institutional,8821.0
LA,institutional,17576.79
LA,institutional,19813.1
LA,institutional,30915.42
LA,institutional,77421.96
LA,institutional,100113.32
MO,institutional,3932.0
MI,institutional,133.62
MI,institutional,1564.1
MI,institutional,2438.88
MI,institutional,3149.33
MI,institutional,4363.06
MI,institutional,148.46
MI,institutional,1564.1
MI,institutional,2709.84
MI,institutional,3499.22
MI,institutional,4847.79
MI,institutional,1564.1
MI,institutional,133.62
MI,institutional,384.45
MI,institutional,473.27
MI,institutional,1564.1
MI,institutional,4363.06
TX,institutional,0.0
TX,institutional,1931.0
TX,institutional,1931.0
TX,institutional,1931.0
TX,institutional,5655.44
TX,institutional,37770.69
CA,institutional,73880.0
MI,institutional,1564.1
TX,institutional,80.0
TX,institutional,80.0
TX,institutional,80.0
TX,institutional,80.0
TX,institutional,80.0
TX,institutional,80.0
TX,institutional,80.0
TX,institutional,80.0
TX,institutional,80.0
TX,institutional,11000.0
AL,institutional,12719.0
KS,institutional,4890.0
KS,institutional,8016.63
KS,institutional,9036.59
KS,institutional,14100.26
KS,institutional,35311.5
KS,institutional,45660.84
IA,institutional,361.35
IA,institutional,838.77
IA,institutional,6615.55
VA,institutional,13453.48
VA,institutional,16033.25
VA,institutional,18073.18
VA,institutional,28200.53
VA,institutional,70623.0
VA,institutional,91321.68
TN,institutional,1303.0
TN,institutional,2044.0
TN,institutional,2044.0
TN,institutional,2044.0
TN,institutional,2044.0
TN,institutional,2044.0
TN,institutional,2044.0
TX,institutional,2800.0
TX,institutional,80.0
TX,institutional,80.0
TX,institutional,80.0
TX,institutional,80.0
TX,institutional,80.0
TX,institutional,80.0
TX,institutional,0.0
IA,institutional,537.08
IA,institutional,1246.67
IA,institutional,9832.7
FL,institutional,8406.0
FL,institutional,8406.0
FL,institutional,20405.5
FL,institutional,42773.03
FL,institutional,107117.14
FL,institutional,138511.76
LA,institutional,9075.0
TX,institutional,0.0
TX,institutional,1950.0
TX,institutional,1950.0
TX,institutional,1950.0
TX,institutional,4847.77
TX,institutional,33439.1
MI,institutional,1564.1
TX,institutional,61.1
TX,institutional,61.1
TX,institutional,61.1
TX,institutional,61.1
TX,institutional,61.1
TX,institutional,74.1
TX,institutional,74.1
TX,institutional,0.0
TX,institutional,4243.28
TX,institutional,38097.97
NV,institutional,50359.0
NV,institutional,72210.0
IN,institutional,6484.12
IN,institutional,7727.48
IN,institutional,8710.66
IN,institutional,13591.7
IN,institutional,34037.89
IN,institutional,44013.95
GA,institutional,4803.0
GA,institutional,6416.0
CA,institutional,73880.0
IA,institutional,367.95
IA,institutional,854.09
IA,institutional,6736.38
MI,institutional,1564.1
GA,institutional,11825.0
GA,institutional,15051.0
GA,institutional,26335.84
GA,institutional,29686.57
GA,institutional,46321.51
GA,institutional,116003.66
GA,institutional,150002.82
